Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme Blush & Glow Brightening Face Wash
Lemon With Vitamin C Serum (50g)",Makeup,Face,130,0,0,4.4,4374,265,,In Stock,High,130
Lakme,"Lakme Absolute Perfect Radiance Facewash
& Serum Combo",Kits & Combos,Combo,500,475,5,4.3,16877,889,,In Stock,High,25
Lakme,"Lakme Primer + Matte Face Base Light
Combo (3 pcs)",Kits & Combos,Combo,1923,1154,40,4.3,98550,5807,,In Stock,High,769
Lakme,"Lakme Absolute Explore Eye Shadow Stick
- Blue Orchid (1.4g)",Makeup,Eyes,750,600,20,4.3,347,14,,In Stock,High,150
Lakme,"Lakme Absolute Blur Perfect Makeup
Primer + Insta Liner Eye Liner - Black",Makeup,Eyes,1089,708,35,4.4,86933,6903,,In Stock,High,381
Lakme,Lakme Sindoor Combo (Pack of 2),Kits & Combos,Combo,350,315,10,4.4,6828,310,,In Stock,High,35
Lakme,"Lakme Sun Expert Tinted PA SPF50++ Spray
(50ml)",Skin Care,Sun Care,575,518,10,4.0,990,35,,In Stock,High,57
Lakme,Lakme Color Crush - Pack of 3 (3 pcs),Kits & Combos,Combo,567,482,15,4.3,36569,3587,,In Stock,High,85
Lakme,"Lakme Vitamin C Routine Starter Kit (3
pcs)",Kits & Combos,Combo,1367,1230,10,4.3,20398,836,,In Stock,High,137
Lakme,"Lakme Absolute Perfect Radiance Facewash
& Day Cream Combo",Kits & Combos,Combo,550,504,8,4.3,54364,2501,,In Stock,High,46
Lakme,"Lakme Absolute Foundation & Creme
Concealer Combo - Light (2 pcs)",Kits & Combos,Combo,1624,1068,34,4.4,51770,4714,,In Stock,High,556
Lakme,"Lakme Blush & Glow Kiwi Gel Face Wash
100% Real Kiwi Extract (50g)",Makeup,Face,125,0,0,4.4,4662,336,,In Stock,High,125
Lakme,"Lakme Lip Mousse Mini Bestseller Trio
(2pcs)",Kits & Combos,Combo,1497,1347,10,4.9,80,78,,In Stock,High,150
Lakme,"Lakme Retinol Advanced Renewal Under Eye
Serum Creme (15g)",Skin Care,Serums,899,809,10,5.0,1,0,,In Stock,High,90
Lakme,"Lakme Absolute Sheer Cheek Mousse Blush
- Pink Rose (6ml)",Makeup,Face,650,488,25,4.0,163,14,,In Stock,High,162
Lakme,Lakme Eyeconic Brow Boss - Brown (5 g),Makeup,Eye Brow,650,520,20,4.4,27,0,,In Stock,High,130
Lakme,"Lakme Eyeconic Combo (Liner Pen + Kajal
+ Mascara)(4 Pcs)",Kits & Combos,Combo,1420,870,39,4.4,60135,2760,,In Stock,High,550
Lakme,"Lakme UltimateGlam Volumizing Mascara -
Black (10ml)",Makeup,Eyes,350,315,10,4.1,22,0,,In Stock,High,35
Lakme,"Lakme Dew Drama Facewash with Pro-
Ceramides & 6% Vitamin E + B3 + F
Complex for Glowing Skin (100 g)",Skin Care,Cleansers,249,224,10,4.7,195,106,,In Stock,High,25
Lakme,"Lakme Wink & Win Combo (Eyeliner +
Mascara)",Kits & Combos,Combo,749,487,35,4.4,84564,4866,,In Stock,High,262
Lakme,"Lakme Vitamin C Combo - 10% Vitamin C
Serum + Facewash + Day Cream",Kits & Combos,Combo,1117,972,13,4.3,9384,484,,In Stock,High,145
Lakme,Lakme Ace Your Base Combo (2 pcs),Kits & Combos,Combo,1898,1139,40,4.4,81075,7161,,In Stock,High,759
